chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYAnnotation.java,XYAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,_info,,,NaN,,,
javaProjects\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,getIncludeInDataBounds,1,,,1,,,
javaProjects\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,getXRange,1,,,1,,,
javaProjects\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,getYRange,1,,,1,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,XYBoxAnnotation_double_double_double_double,3,,,1,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,XYBoxAnnotation_double_double_double_double_Stroke_Paint,,,NaN,,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,XYBoxAnnotation_double_double_double_double_Stroke_Paint_Paint,,,NaN,,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,_info,,,NaN,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,equals_Object,38,2,0.5263158,11,0.4784689,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,hashCode,13,,,1,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,writeObject_ObjectOutputStream,6,,,1,,,
javaProjects\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,XYDataImageAnnotation_Image_double_double_double_double,,,NaN,,,,
